sample_index,image_id,relative_path,target_class_id,target_class_name,openai_clip_category,eva02_clip_category,openai_clip_baseline_top1_class_id,openai_clip_baseline_top1_class_name,openai_clip_fudd_top1_class_id,openai_clip_fudd_top1_class_name,openai_clip_baseline_target_rank,openai_clip_fudd_target_rank,eva02_clip_baseline_top1_class_id,eva02_clip_baseline_top1_class_name,eva02_clip_fudd_top1_class_id,eva02_clip_fudd_top1_class_name,eva02_clip_baseline_target_rank,eva02_clip_fudd_target_rank
7,16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
15,28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
16,29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,4,4,2,Sooty Albatross,2,Sooty Albatross,2,2
17,33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
19,38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
20,39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
21,44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
22,45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
26,52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,5,3,2,Sooty Albatross,2,Sooty Albatross,2,2
27,54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,3,2,2,Sooty Albatross,2,Sooty Albatross,2,2
28,57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
41,87,002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,1,Laysan Albatross,both_wrong,both_wrong,60,Heermann Gull,60,Heermann Gull,,,83,Red-legged Kittiwake,83,Red-legged Kittiwake,,
42,88,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,1,Laysan Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,3,3,2,Sooty Albatross,2,Sooty Albatross,4,4
61,129,003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,2,Sooty Albatross,both_wrong,both_wrong,0,Black-footed Albatross,0,Black-footed Albatross,6,6,0,Black-footed Albatross,0,Black-footed Albatross,2,2
64,133,003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,2,Sooty Albatross,both_wrong,both_wrong,71,Pomarine Jaeger,71,Pomarine Jaeger,2,2,70,Long-tailed Jaeger,70,Long-tailed Jaeger,4,4
69,146,003.Sooty_Albatross/Sooty_Albatross_0042_1210.jpg,2,Sooty Albatross,both_wrong,both_wrong,0,Black-footed Albatross,0,Black-footed Albatross,2,2,0,Black-footed Albatross,0,Black-footed Albatross,2,2
73,154,003.Sooty_Albatross/Sooty_Albatross_0010_796355.jpg,2,Sooty Albatross,both_wrong,both_wrong,0,Black-footed Albatross,0,Black-footed Albatross,3,2,71,Pomarine Jaeger,0,Black-footed Albatross,3,3
113,231,004.Groove_billed_Ani/Groove_Billed_Ani_0087_1765.jpg,3,Groove-billed Ani,both_wrong,both_wrong,8,Brewer Blackbird,26,Shiny Cowbird,3,5,102,Sayornis,102,Sayornis,3,2
124,255,005.Crested_Auklet/Crested_Auklet_0021_794938.jpg,4,Crested Auklet,both_wrong,both_wrong,7,Rhinoceros Auklet,7,Rhinoceros Auklet,3,3,7,Rhinoceros Auklet,7,Rhinoceros Auklet,2,2
130,279,005.Crested_Auklet/Crested_Auklet_0036_794905.jpg,4,Crested Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,5,5,Least Auklet,5,Least Auklet,3,3
143,325,007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,4,Crested Auklet,4,4,5,Least Auklet,5,Least Auklet,4,4
144,329,007.Parakeet_Auklet/Parakeet_Auklet_0072_795929.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,4,Crested Auklet,5,Least Auklet,4,4
145,330,007.Parakeet_Auklet/Parakeet_Auklet_0030_795930.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,4,Crested Auklet,4,Crested Auklet,4,4
146,337,007.Parakeet_Auklet/Parakeet_Auklet_0058_795942.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,4,Crested Auklet,5,Least Auklet,4,4
147,340,007.Parakeet_Auklet/Parakeet_Auklet_0020_795947.jpg,6,Parakeet Auklet,both_wrong,both_wrong,7,Rhinoceros Auklet,7,Rhinoceros Auklet,4,4,4,Crested Auklet,4,Crested Auklet,4,4
148,343,007.Parakeet_Auklet/Parakeet_Auklet_0064_795954.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,7,Rhinoceros Auklet,4,4,4,Crested Auklet,4,Crested Auklet,4,4
149,344,007.Parakeet_Auklet/Parakeet_Auklet_0039_795955.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,2,2,5,Least Auklet,5,Least Auklet,4,4
150,346,007.Parakeet_Auklet/Parakeet_Auklet_0050_795957.jpg,6,Parakeet Auklet,both_wrong,both_wrong,4,Crested Auklet,4,Crested Auklet,3,3,4,Crested Auklet,4,Crested Auklet,4,4
151,348,007.Parakeet_Auklet/Parakeet_Auklet_0031_795960.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,3,5,Least Auklet,5,Least Auklet,4,4
152,350,007.Parakeet_Auklet/Parakeet_Auklet_0026_795962.jpg,6,Parakeet Auklet,both_wrong,both_wrong,4,Crested Auklet,7,Rhinoceros Auklet,4,4,4,Crested Auklet,4,Crested Auklet,4,4
153,351,007.Parakeet_Auklet/Parakeet_Auklet_0055_795963.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,7,Rhinoceros Auklet,4,3,5,Least Auklet,5,Least Auklet,4,4
154,352,007.Parakeet_Auklet/Parakeet_Auklet_0067_795964.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,5,Least Auklet,5,Least Auklet,4,4
155,354,007.Parakeet_Auklet/Parakeet_Auklet_0015_795966.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,7,Rhinoceros Auklet,3,3,5,Least Auklet,5,Least Auklet,4,4
156,356,007.Parakeet_Auklet/Parakeet_Auklet_0013_795970.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,7,Rhinoceros Auklet,4,4,5,Least Auklet,5,Least Auklet,4,4
157,357,007.Parakeet_Auklet/Parakeet_Auklet_0051_795971.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,7,Rhinoceros Auklet,4,4,4,Crested Auklet,4,Crested Auklet,4,4
158,360,007.Parakeet_Auklet/Parakeet_Auklet_0040_795974.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,4,Crested Auklet,5,Least Auklet,4,4
159,363,007.Parakeet_Auklet/Parakeet_Auklet_0016_795977.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,5,Least Auklet,5,Least Auklet,4,4
160,365,007.Parakeet_Auklet/Parakeet_Auklet_0075_795981.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,4,Crested Auklet,5,Least Auklet,4,4
161,369,007.Parakeet_Auklet/Parakeet_Auklet_0061_795990.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,4,Crested Auklet,5,Least Auklet,4,4
162,370,007.Parakeet_Auklet/Parakeet_Auklet_0008_795992.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,7,Rhinoceros Auklet,4,4,5,Least Auklet,5,Least Auklet,4,4
163,371,007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,3,5,Least Auklet,5,Least Auklet,4,4
164,372,007.Parakeet_Auklet/Parakeet_Auklet_0010_795995.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,4,4,Crested Auklet,4,Crested Auklet,4,4
165,373,007.Parakeet_Auklet/Parakeet_Auklet_0070_795998.jpg,6,Parakeet Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,4,4,Crested Auklet,5,Least Auklet,4,4
167,382,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0027_797496.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,3,5,Least Auklet,5,Least Auklet,2,2
168,383,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0034_797497.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,2,2,4,Crested Auklet,4,Crested Auklet,2,3
170,386,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0044_797502.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,2,5,Least Auklet,5,Least Auklet,2,2
171,387,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0040_797503.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,3,4,Crested Auklet,4,Crested Auklet,3,3
172,389,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0025_797508.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,4,3,5,Least Auklet,5,Least Auklet,3,3
173,391,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0051_797510.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,2,5,Least Auklet,5,Least Auklet,3,2
175,405,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0046_797532.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,3,5,Least Auklet,5,Least Auklet,3,2
177,408,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0045_797536.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,2,5,Least Auklet,5,Least Auklet,2,2
178,410,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0001_797538.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,2,5,Least Auklet,5,Least Auklet,3,3
182,422,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0022_2170.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,2,2,4,Crested Auklet,5,Least Auklet,3,3
183,424,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0039_2174.jpg,7,Rhinoceros Auklet,both_wrong,both_wrong,5,Least Auklet,5,Least Auklet,3,3,5,Least Auklet,5,Least Auklet,3,3
186,434,009.Brewer_Blackbird/Brewer_Blackbird_0009_2616.jpg,8,Brewer Blackbird,both_wrong,both_wrong,133,Cape-Glossy Starling,48,Boat-tailed Grackle,6,5,133,Cape-Glossy Starling,29,Fish Crow,2,2
188,438,009.Brewer_Blackbird/Brewer_Blackbird_0101_2630.jpg,8,Brewer Blackbird,both_wrong,both_wrong,10,Rusty Blackbird,10,Rusty Blackbird,6,7,10,Rusty Blackbird,10,Rusty Blackbird,2,2
190,440,009.Brewer_Blackbird/Brewer_Blackbird_0096_2634.jpg,8,Brewer Blackbird,both_wrong,both_wrong,25,Bronzed Cowbird,25,Bronzed Cowbird,3,3,25,Bronzed Cowbird,26,Shiny Cowbird,3,4
191,442,009.Brewer_Blackbird/Brewer_Blackbird_0041_2653.jpg,8,Brewer Blackbird,both_wrong,both_wrong,48,Boat-tailed Grackle,48,Boat-tailed Grackle,6,3,48,Boat-tailed Grackle,48,Boat-tailed Grackle,3,2
194,447,009.Brewer_Blackbird/Brewer_Blackbird_0137_2680.jpg,8,Brewer Blackbird,both_wrong,both_wrong,10,Rusty Blackbird,10,Rusty Blackbird,4,4,25,Bronzed Cowbird,25,Bronzed Cowbird,4,4
201,455,009.Brewer_Blackbird/Brewer_Blackbird_0025_2231.jpg,8,Brewer Blackbird,both_wrong,both_wrong,25,Bronzed Cowbird,25,Bronzed Cowbird,5,4,25,Bronzed Cowbird,25,Bronzed Cowbird,3,2
206,463,009.Brewer_Blackbird/Brewer_Blackbird_0061_2270.jpg,8,Brewer Blackbird,both_wrong,both_wrong,133,Cape-Glossy Starling,133,Cape-Glossy Starling,4,3,48,Boat-tailed Grackle,48,Boat-tailed Grackle,2,2
208,472,009.Brewer_Blackbird/Brewer_Blackbird_0038_2294.jpg,8,Brewer Blackbird,both_wrong,both_wrong,25,Bronzed Cowbird,25,Bronzed Cowbird,4,4,25,Bronzed Cowbird,25,Bronzed Cowbird,4,4
243,546,011.Rusty_Blackbird/Rusty_Blackbird_0055_6923.jpg,10,Rusty Blackbird,both_wrong,both_wrong,48,Boat-tailed Grackle,48,Boat-tailed Grackle,5,6,48,Boat-tailed Grackle,8,Brewer Blackbird,7,8
246,551,011.Rusty_Blackbird/Rusty_Blackbird_0043_2597.jpg,10,Rusty Blackbird,both_wrong,both_wrong,25,Bronzed Cowbird,26,Shiny Cowbird,3,3,25,Bronzed Cowbird,26,Shiny Cowbird,3,3
247,553,011.Rusty_Blackbird/Rusty_Blackbird_0109_6698.jpg,10,Rusty Blackbird,both_wrong,both_wrong,133,Cape-Glossy Starling,133,Cape-Glossy Starling,3,4,48,Boat-tailed Grackle,48,Boat-tailed Grackle,8,7
248,556,011.Rusty_Blackbird/Rusty_Blackbird_0081_6967.jpg,10,Rusty Blackbird,both_wrong,both_wrong,8,Brewer Blackbird,8,Brewer Blackbird,3,2,8,Brewer Blackbird,8,Brewer Blackbird,4,2
251,563,011.Rusty_Blackbird/Rusty_Blackbird_0112_3415.jpg,10,Rusty Blackbird,both_wrong,both_wrong,133,Cape-Glossy Starling,133,Cape-Glossy Starling,3,3,8,Brewer Blackbird,8,Brewer Blackbird,5,5
253,567,011.Rusty_Blackbird/Rusty_Blackbird_0047_7009.jpg,10,Rusty Blackbird,both_wrong,both_wrong,25,Bronzed Cowbird,25,Bronzed Cowbird,3,3,26,Shiny Cowbird,26,Shiny Cowbird,4,4
259,579,011.Rusty_Blackbird/Rusty_Blackbird_0057_6935.jpg,10,Rusty Blackbird,both_wrong,both_wrong,8,Brewer Blackbird,8,Brewer Blackbird,2,2,8,Brewer Blackbird,8,Brewer Blackbird,2,2
262,583,011.Rusty_Blackbird/Rusty_Blackbird_0022_6808.jpg,10,Rusty Blackbird,both_wrong,both_wrong,8,Brewer Blackbird,8,Brewer Blackbird,10,9,48,Boat-tailed Grackle,48,Boat-tailed Grackle,7,7
267,590,011.Rusty_Blackbird/Rusty_Blackbird_0027_6593.jpg,10,Rusty Blackbird,both_wrong,both_wrong,48,Boat-tailed Grackle,48,Boat-tailed Grackle,5,5,48,Boat-tailed Grackle,48,Boat-tailed Grackle,7,8
269,594,011.Rusty_Blackbird/Rusty_Blackbird_0080_6877.jpg,10,Rusty Blackbird,both_wrong,both_wrong,8,Brewer Blackbird,8,Brewer Blackbird,2,2,8,Brewer Blackbird,8,Brewer Blackbird,3,3
271,602,011.Rusty_Blackbird/Rusty_Blackbird_0013_6902.jpg,10,Rusty Blackbird,both_wrong,both_wrong,25,Bronzed Cowbird,25,Bronzed Cowbird,2,2,25,Bronzed Cowbird,25,Bronzed Cowbird,3,2
395,849,016.Painted_Bunting/Painted_Bunting_0072_16697.jpg,15,Painted Bunting,both_wrong,both_wrong,96,Orchard Oriole,96,Orchard Oriole,3,4,172,Orange-crowned Warbler,172,Orange-crowned Warbler,4,6
444,961,018.Spotted_Catbird/Spotted_Catbird_0015_796808.jpg,17,Spotted Catbird,both_wrong,both_wrong,147,Green-tailed Towhee,147,Green-tailed Towhee,2,4,147,Green-tailed Towhee,147,Green-tailed Towhee,2,2
450,976,018.Spotted_Catbird/Spotted_Catbird_0002_796827.jpg,17,Spotted Catbird,both_wrong,both_wrong,147,Green-tailed Towhee,31,Mangrove Cuckoo,,,147,Green-tailed Towhee,74,Green Jay,7,10
501,1084,020.Yellow_breasted_Chat/Yellow_Breasted_Chat_0086_21877.jpg,19,Yellow-breasted Chat,both_wrong,both_wrong,172,Orange-crowned Warbler,172,Orange-crowned Warbler,,,171,Nashville Warbler,171,Nashville Warbler,3,2
545,1176,022.Chuck_will_Widow/Chuck_Will_Widow_0033_22792.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,10,2,91,Nighthawk,91,Nighthawk,3,2
546,1177,022.Chuck_will_Widow/Chuck_Will_Widow_0045_22798.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,3,2,91,Nighthawk,91,Nighthawk,2,2
547,1178,022.Chuck_will_Widow/Chuck_Will_Widow_0032_22802.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,10,2,91,Nighthawk,91,Nighthawk,3,2
548,1179,022.Chuck_will_Widow/Chuck_Will_Widow_0019_22806.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,5,2,91,Nighthawk,91,Nighthawk,6,2
549,1180,022.Chuck_will_Widow/Chuck_Will_Widow_0021_796952.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,2,2,91,Nighthawk,91,Nighthawk,3,2
550,1182,022.Chuck_will_Widow/Chuck_Will_Widow_0011_796954.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,9,2,91,Nighthawk,91,Nighthawk,5,2
551,1183,022.Chuck_will_Widow/Chuck_Will_Widow_0009_796955.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,2,2,91,Nighthawk,91,Nighthawk,2,2
552,1190,022.Chuck_will_Widow/Chuck_Will_Widow_0015_796962.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,6,2,91,Nighthawk,91,Nighthawk,2,2
553,1192,022.Chuck_will_Widow/Chuck_Will_Widow_0010_796964.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,6,2,91,Nighthawk,91,Nighthawk,3,2
554,1193,022.Chuck_will_Widow/Chuck_Will_Widow_0020_796965.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,2,2,91,Nighthawk,91,Nighthawk,5,2
555,1195,022.Chuck_will_Widow/Chuck_Will_Widow_0022_796967.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,3,2,91,Nighthawk,91,Nighthawk,3,2
556,1199,022.Chuck_will_Widow/Chuck_Will_Widow_0047_796971.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,9,2,91,Nighthawk,91,Nighthawk,7,2
558,1206,022.Chuck_will_Widow/Chuck_Will_Widow_0027_796978.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,6,2,91,Nighthawk,91,Nighthawk,4,2
559,1209,022.Chuck_will_Widow/Chuck_Will_Widow_0031_796981.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,,,91,Nighthawk,91,Nighthawk,4,2
560,1211,022.Chuck_will_Widow/Chuck_Will_Widow_0042_796983.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,4,2,91,Nighthawk,91,Nighthawk,5,2
561,1212,022.Chuck_will_Widow/Chuck_Will_Widow_0052_796984.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,2,2,91,Nighthawk,91,Nighthawk,3,2
562,1215,022.Chuck_will_Widow/Chuck_Will_Widow_0014_796987.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,3,2,91,Nighthawk,91,Nighthawk,4,2
563,1216,022.Chuck_will_Widow/Chuck_Will_Widow_0028_796988.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,3,2,91,Nighthawk,91,Nighthawk,3,2
564,1217,022.Chuck_will_Widow/Chuck_Will_Widow_0038_796989.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,2,2,91,Nighthawk,91,Nighthawk,2,2
565,1218,022.Chuck_will_Widow/Chuck_Will_Widow_0051_796991.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,4,2,91,Nighthawk,91,Nighthawk,4,2
566,1220,022.Chuck_will_Widow/Chuck_Will_Widow_0030_796994.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,2,2,91,Nighthawk,91,Nighthawk,2,2
567,1223,022.Chuck_will_Widow/Chuck_Will_Widow_0041_796997.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,2,2,91,Nighthawk,91,Nighthawk,3,2
568,1225,022.Chuck_will_Widow/Chuck_Will_Widow_0058_796999.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,4,2,91,Nighthawk,91,Nighthawk,3,2
569,1226,022.Chuck_will_Widow/Chuck_Will_Widow_0039_797000.jpg,21,Chuck-will Widow,both_wrong,both_wrong,91,Nighthawk,91,Nighthawk,4,3,91,Nighthawk,91,Nighthawk,2,2
