sample_index,image_id,relative_path,target_class_id,target_class_name,openai_clip_category,eva02_clip_category,openai_clip_baseline_top1_class_id,openai_clip_baseline_top1_class_name,openai_clip_fudd_top1_class_id,openai_clip_fudd_top1_class_name,openai_clip_baseline_target_rank,openai_clip_fudd_target_rank,eva02_clip_baseline_top1_class_id,eva02_clip_baseline_top1_class_name,eva02_clip_fudd_top1_class_id,eva02_clip_fudd_top1_class_name,eva02_clip_baseline_target_rank,eva02_clip_fudd_target_rank
0,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,Black-footed Albatross,degraded,degraded,0,Black-footed Albatross,2,Sooty Albatross,1,2,0,Black-footed Albatross,1,Laysan Albatross,1,2
1,3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0,Black-footed Albatross,degraded,both_correct,0,Black-footed Albatross,2,Sooty Albatross,1,2,0,Black-footed Albatross,0,Black-footed Albatross,1,1
2,6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,Black-footed Albatross,both_correct,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,1,1
3,10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,0,Black-footed Albatross,both_correct,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,1,1
4,12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,0,Black-footed Albatross,degraded,both_wrong,0,Black-footed Albatross,2,Sooty Albatross,1,2,2,Sooty Albatross,2,Sooty Albatross,2,2
5,13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,Black-footed Albatross,degraded,both_correct,0,Black-footed Albatross,2,Sooty Albatross,1,2,0,Black-footed Albatross,0,Black-footed Albatross,1,1
6,14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,Black-footed Albatross,both_wrong,both_correct,2,Sooty Albatross,2,Sooty Albatross,2,2,0,Black-footed Albatross,0,Black-footed Albatross,1,1
7,16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
8,17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,Black-footed Albatross,both_correct,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,1,1
9,19,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,Black-footed Albatross,both_correct,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,1,1
10,22,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,Black-footed Albatross,both_correct,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,1,1
11,24,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,Black-footed Albatross,degraded,both_correct,0,Black-footed Albatross,1,Laysan Albatross,1,2,0,Black-footed Albatross,0,Black-footed Albatross,1,1
12,25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,Black-footed Albatross,both_correct,both_wrong,0,Black-footed Albatross,0,Black-footed Albatross,1,1,2,Sooty Albatross,2,Sooty Albatross,2,2
13,26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,Black-footed Albatross,both_wrong,both_correct,71,Pomarine Jaeger,2,Sooty Albatross,2,2,0,Black-footed Albatross,0,Black-footed Albatross,1,1
14,27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,Black-footed Albatross,degraded,both_wrong,0,Black-footed Albatross,2,Sooty Albatross,1,2,2,Sooty Albatross,2,Sooty Albatross,2,2
15,28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
16,29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,4,4,2,Sooty Albatross,2,Sooty Albatross,2,2
17,33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
18,34,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,Black-footed Albatross,both_correct,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,1,1
19,38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
20,39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
21,44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
22,45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
23,47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,Black-footed Albatross,both_wrong,both_correct,71,Pomarine Jaeger,2,Sooty Albatross,3,2,0,Black-footed Albatross,0,Black-footed Albatross,1,1
24,48,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,Black-footed Albatross,degraded,both_correct,0,Black-footed Albatross,2,Sooty Albatross,1,3,0,Black-footed Albatross,0,Black-footed Albatross,1,1
25,50,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,0,Black-footed Albatross,both_correct,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,1,1
26,52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,5,3,2,Sooty Albatross,2,Sooty Albatross,2,2
