sample_index,image_id,relative_path,target_class_id,target_class_name,openai_clip_category,eva02_clip_category,openai_clip_baseline_top1_class_id,openai_clip_baseline_top1_class_name,openai_clip_fudd_top1_class_id,openai_clip_fudd_top1_class_name,openai_clip_baseline_target_rank,openai_clip_fudd_target_rank,eva02_clip_baseline_top1_class_id,eva02_clip_baseline_top1_class_name,eva02_clip_fudd_top1_class_id,eva02_clip_fudd_top1_class_name,eva02_clip_baseline_target_rank,eva02_clip_fudd_target_rank
0,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,Black-footed Albatross,degraded,degraded,0,Black-footed Albatross,2,Sooty Albatross,1,2,0,Black-footed Albatross,1,Laysan Albatross,1,2
454,993,018.Spotted_Catbird/Spotted_Catbird_0009_796795.jpg,17,Spotted Catbird,degraded,degraded,17,Spotted Catbird,147,Green-tailed Towhee,1,2,17,Spotted Catbird,69,Green Violetear,1,3
772,1644,030.Fish_Crow/Fish_Crow_0059_25864.jpg,29,Fish Crow,degraded,degraded,29,Fish Crow,28,American Crow,1,2,29,Fish Crow,28,American Crow,1,2
780,1659,030.Fish_Crow/Fish_Crow_0085_25919.jpg,29,Fish Crow,degraded,degraded,29,Fish Crow,28,American Crow,1,2,29,Fish Crow,28,American Crow,1,3
1486,3081,054.Blue_Grosbeak/Blue_Grosbeak_0049_37180.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,3
1488,3084,054.Blue_Grosbeak/Blue_Grosbeak_0024_36680.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,2
1495,3100,054.Blue_Grosbeak/Blue_Grosbeak_0085_36990.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,2
1505,3124,054.Blue_Grosbeak/Blue_Grosbeak_0002_36648.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,2
1677,3470,060.Glaucous_winged_Gull/Glaucous_Winged_Gull_0011_44827.jpg,59,Glaucous-winged Gull,degraded,degraded,59,Glaucous-winged Gull,58,California Gull,1,3,59,Glaucous-winged Gull,58,California Gull,1,2
1680,3475,060.Glaucous_winged_Gull/Glaucous_Winged_Gull_0111_44856.jpg,59,Glaucous-winged Gull,degraded,degraded,59,Glaucous-winged Gull,58,California Gull,1,2,59,Glaucous-winged Gull,58,California Gull,1,2
1780,3677,064.Ring_billed_Gull/Ring_Billed_Gull_0044_50239.jpg,63,Ring-billed Gull,degraded,degraded,63,Ring-billed Gull,58,California Gull,1,2,63,Ring-billed Gull,58,California Gull,1,2
1782,3680,064.Ring_billed_Gull/Ring_Billed_Gull_0038_51275.jpg,63,Ring-billed Gull,degraded,degraded,63,Ring-billed Gull,58,California Gull,1,2,63,Ring-billed Gull,58,California Gull,1,2
