model,category,sample_index,image_id,relative_path,target_class_id,target_class_name,baseline_top1_class_id,baseline_top1_class_name,fudd_top1_class_id,fudd_top1_class_name,baseline_target_rank,fudd_target_rank,target_in_baseline_top10,top1_changed_by_fudd
eva02_clip,both_wrong,4,12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,7,16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,12,25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,14,27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,15,28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,16,29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,17,33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,19,38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,20,39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,21,44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,22,45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,26,52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,27,54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,28,57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
eva02_clip,both_wrong,41,87,002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,1,Laysan Albatross,83,Red-legged Kittiwake,83,Red-legged Kittiwake,,,False,False
eva02_clip,both_wrong,42,88,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,1,Laysan Albatross,2,Sooty Albatross,2,Sooty Albatross,4,4,True,False
eva02_clip,both_wrong,45,92,002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,1,Laysan Albatross,0,Black-footed Albatross,0,Black-footed Albatross,3,2,True,False
eva02_clip,both_wrong,50,100,002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,1,Laysan Albatross,0,Black-footed Albatross,0,Black-footed Albatross,3,2,True,False
