model,category,sample_index,image_id,relative_path,target_class_id,target_class_name,baseline_top1_class_id,baseline_top1_class_name,fudd_top1_class_id,fudd_top1_class_name,baseline_target_rank,fudd_target_rank,target_in_baseline_top10,top1_changed_by_fudd
eva02_clip,degraded,0,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,Black-footed Albatross,0,Black-footed Albatross,1,Laysan Albatross,1,2,True,True
eva02_clip,degraded,79,163,003.Sooty_Albatross/Sooty_Albatross_0065_796367.jpg,2,Sooty Albatross,2,Sooty Albatross,0,Black-footed Albatross,1,2,True,True
eva02_clip,degraded,128,271,005.Crested_Auklet/Crested_Auklet_0068_785253.jpg,4,Crested Auklet,4,Crested Auklet,7,Rhinoceros Auklet,1,3,True,True
eva02_clip,degraded,181,420,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0035_2166.jpg,7,Rhinoceros Auklet,7,Rhinoceros Auklet,5,Least Auklet,1,2,True,True
eva02_clip,degraded,245,550,011.Rusty_Blackbird/Rusty_Blackbird_0104_6685.jpg,10,Rusty Blackbird,10,Rusty Blackbird,8,Brewer Blackbird,1,2,True,True
eva02_clip,degraded,264,585,011.Rusty_Blackbird/Rusty_Blackbird_0092_2727.jpg,10,Rusty Blackbird,10,Rusty Blackbird,8,Brewer Blackbird,1,2,True,True
eva02_clip,degraded,276,610,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0065_8481.jpg,11,Yellow-headed Blackbird,11,Yellow-headed Blackbird,12,Bobolink,1,2,True,True
eva02_clip,degraded,342,750,014.Indigo_Bunting/Indigo_Bunting_0013_12949.jpg,13,Indigo Bunting,13,Indigo Bunting,14,Lazuli Bunting,1,2,True,True
eva02_clip,degraded,344,753,014.Indigo_Bunting/Indigo_Bunting_0060_14495.jpg,13,Indigo Bunting,13,Indigo Bunting,14,Lazuli Bunting,1,2,True,True
eva02_clip,degraded,446,968,018.Spotted_Catbird/Spotted_Catbird_0048_796817.jpg,17,Spotted Catbird,17,Spotted Catbird,147,Green-tailed Towhee,1,2,True,True
eva02_clip,degraded,447,969,018.Spotted_Catbird/Spotted_Catbird_0026_796818.jpg,17,Spotted Catbird,17,Spotted Catbird,69,Green Violetear,1,2,True,True
eva02_clip,degraded,454,993,018.Spotted_Catbird/Spotted_Catbird_0009_796795.jpg,17,Spotted Catbird,17,Spotted Catbird,69,Green Violetear,1,3,True,True
eva02_clip,degraded,455,996,018.Spotted_Catbird/Spotted_Catbird_0021_796798.jpg,17,Spotted Catbird,17,Spotted Catbird,147,Green-tailed Towhee,1,2,True,True
eva02_clip,degraded,606,1305,024.Red_faced_Cormorant/Red_Faced_Cormorant_0024_796285.jpg,23,Red-faced Cormorant,23,Red-faced Cormorant,24,Pelagic Cormorant,1,3,True,True
eva02_clip,degraded,607,1306,024.Red_faced_Cormorant/Red_Faced_Cormorant_0057_796286.jpg,23,Red-faced Cormorant,23,Red-faced Cormorant,22,Brandt Cormorant,1,2,True,True
eva02_clip,degraded,617,1333,024.Red_faced_Cormorant/Red_Faced_Cormorant_0047_796330.jpg,23,Red-faced Cormorant,23,Red-faced Cormorant,22,Brandt Cormorant,1,2,True,True
eva02_clip,degraded,628,1356,025.Pelagic_Cormorant/Pelagic_Cormorant_0071_23964.jpg,24,Pelagic Cormorant,24,Pelagic Cormorant,22,Brandt Cormorant,1,2,True,True
eva02_clip,degraded,659,1421,026.Bronzed_Cowbird/Bronzed_Cowbird_0087_796223.jpg,25,Bronzed Cowbird,25,Bronzed Cowbird,8,Brewer Blackbird,1,3,True,True
eva02_clip,degraded,662,1424,026.Bronzed_Cowbird/Bronzed_Cowbird_0013_24131.jpg,25,Bronzed Cowbird,25,Bronzed Cowbird,26,Shiny Cowbird,1,3,True,True
eva02_clip,degraded,668,1433,026.Bronzed_Cowbird/Bronzed_Cowbird_0058_796239.jpg,25,Bronzed Cowbird,25,Bronzed Cowbird,26,Shiny Cowbird,1,2,True,True
eva02_clip,degraded,687,1478,027.Shiny_Cowbird/Shiny_Cowbird_0079_24399.jpg,26,Shiny Cowbird,26,Shiny Cowbird,8,Brewer Blackbird,1,2,True,True
eva02_clip,degraded,692,1483,027.Shiny_Cowbird/Shiny_Cowbird_0051_24438.jpg,26,Shiny Cowbird,26,Shiny Cowbird,8,Brewer Blackbird,1,2,True,True
eva02_clip,degraded,696,1492,027.Shiny_Cowbird/Shiny_Cowbird_0081_796833.jpg,26,Shiny Cowbird,26,Shiny Cowbird,8,Brewer Blackbird,1,2,True,True
eva02_clip,degraded,709,1520,027.Shiny_Cowbird/Shiny_Cowbird_0005_796873.jpg,26,Shiny Cowbird,26,Shiny Cowbird,8,Brewer Blackbird,1,2,True,True
eva02_clip,degraded,710,1521,027.Shiny_Cowbird/Shiny_Cowbird_0032_24284.jpg,26,Shiny Cowbird,26,Shiny Cowbird,8,Brewer Blackbird,1,2,True,True
eva02_clip,degraded,772,1644,030.Fish_Crow/Fish_Crow_0059_25864.jpg,29,Fish Crow,29,Fish Crow,28,American Crow,1,2,True,True
eva02_clip,degraded,780,1659,030.Fish_Crow/Fish_Crow_0085_25919.jpg,29,Fish Crow,29,Fish Crow,28,American Crow,1,3,True,True
eva02_clip,degraded,786,1666,030.Fish_Crow/Fish_Crow_0072_25945.jpg,29,Fish Crow,29,Fish Crow,28,American Crow,1,3,True,True
eva02_clip,degraded,787,1667,030.Fish_Crow/Fish_Crow_0012_25946.jpg,29,Fish Crow,29,Fish Crow,28,American Crow,1,3,True,True
eva02_clip,degraded,789,1678,030.Fish_Crow/Fish_Crow_0082_26012.jpg,29,Fish Crow,29,Fish Crow,28,American Crow,1,3,True,True
eva02_clip,degraded,795,1694,030.Fish_Crow/Fish_Crow_0037_26071.jpg,29,Fish Crow,29,Fish Crow,106,Common Raven,1,2,True,True
eva02_clip,degraded,855,1819,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0117_26651.jpg,32,Yellow-billed Cuckoo,32,Yellow-billed Cuckoo,30,Black-billed Cuckoo,1,2,True,True
