model,category,sample_index,image_id,relative_path,target_class_id,target_class_name,baseline_top1_class_id,baseline_top1_class_name,fudd_top1_class_id,fudd_top1_class_name,baseline_target_rank,fudd_target_rank,target_in_baseline_top10,top1_changed_by_fudd
openai_clip,both_wrong,6,14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,7,16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,13,26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,Black-footed Albatross,71,Pomarine Jaeger,2,Sooty Albatross,2,2,True,True
openai_clip,both_wrong,15,28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,16,29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,4,4,True,False
openai_clip,both_wrong,17,33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,19,38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,20,39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,21,44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,22,45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,23,47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,Black-footed Albatross,71,Pomarine Jaeger,2,Sooty Albatross,3,2,True,True
openai_clip,both_wrong,26,52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,5,3,True,False
openai_clip,both_wrong,27,54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,3,2,True,False
openai_clip,both_wrong,28,57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,29,59,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,Black-footed Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,38,82,002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,Laysan Albatross,2,Sooty Albatross,2,Sooty Albatross,2,2,True,False
openai_clip,both_wrong,41,87,002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,1,Laysan Albatross,60,Heermann Gull,60,Heermann Gull,,,False,False
openai_clip,both_wrong,42,88,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,1,Laysan Albatross,2,Sooty Albatross,2,Sooty Albatross,3,3,True,False
openai_clip,both_wrong,44,91,002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,1,Laysan Albatross,64,Slaty-backed Gull,58,California Gull,,,False,True
openai_clip,both_wrong,48,95,002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,1,Laysan Albatross,43,Frigatebird,43,Frigatebird,2,2,True,False
openai_clip,both_wrong,51,101,002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,Laysan Albatross,71,Pomarine Jaeger,2,Sooty Albatross,2,2,True,True
openai_clip,both_wrong,55,108,002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,1,Laysan Albatross,71,Pomarine Jaeger,2,Sooty Albatross,2,2,True,True
openai_clip,both_wrong,61,129,003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,2,Sooty Albatross,0,Black-footed Albatross,0,Black-footed Albatross,6,6,True,False
openai_clip,both_wrong,64,133,003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,2,Sooty Albatross,71,Pomarine Jaeger,71,Pomarine Jaeger,2,2,True,False
